69,BNIZ,Iran Zamin,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,505785,705785,,
70,RESA,Resalat,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,504172,704172,,
73,KSA,Kosar,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,505801,705801,,
75,TOU,Asgarieh,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,606256,806256,,
78,KHMI,Khavaremiyaneh,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,505809,585947,705809,785947
79,MEHREQ,Mehre Eqtesad,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,639370,,,
80,NOOR,Noor,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,507677,707677,,
93,BMJS,shaparak,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,581672,781672,,
95,BJIV,Iran-Venezuela,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,581874,781874,,
989,FUEL,Fuel Switch,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|terminal_code|orig_txn_info,0,200000,,
581672011,Persian,Persian,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672021,Damavand 1,Damavand,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672022,Damavand 2,Damavand,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672031,BPMellat 1,BPMellat,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672032,BPMellat 2,BPMellat,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672041,Saman 1,Saman,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672042,Saman,Saman,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672043,Saman,Saman,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672051,Novin,Novin,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672052,Novin,Novin,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672061,ECParsian,ECParsian,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672062,ECParsian,ECParsian,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672081,Sayan,Sayan,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672082,Sayan,Sayan,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672091,Fanava,Fanava,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672111,KICCC,KICCC,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672112,KICCC,KICCC,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672121,Arya,Arya,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672131,Sadad,Sadad,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672132,sadad2,sadad2,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672141,EPPasargad,EPPasargad,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
581672142,EPPasargad,EPPasargad,,,row_number|psp_code|acceptor_code|trace_code|local_date|local_time|recive_date|IBAN|deposite_date|deposite_type|deposite_circle_number|terminal_type|proccess_type|card_type|amount_shaparak|reference_code|deposite_flag|acceptor_Commission|PSP_Commission|PSP_NET_Commission|terminal_code,0,200000,,
